名称,路径,类型,年份,体积(字节)
2023.8-11CFA二级JC,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC,文件夹,2024,
2023年CFA二级考纲分析.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/二级资料包2023/2023年CFA二级考纲分析.pdf,文件,2024,4066472
CFA二级框架图（23年 ）,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/二级资料包2023/CFA二级框架图（23年 ）,文件夹,2024,
2023 CFA二级 框架图,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/二级资料包2023/CFA二级框架图（23年 ）/2023 CFA二级 框架图,文件夹,2024,
品职教育 2023年CFA二级fixed income知识框架图_final (5月).pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/二级资料包2023/CFA二级框架图（23年 ）/2023 CFA二级 框架图/品职教育 2023年CFA二级fixed income知识框架图_final (5月).pdf,文件,2024,1736564
CFA二级2024,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024,文件夹,2024,
2024 CFA Level II,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/24资料包/2024 CFA Level II,文件夹,2024,
cfa-program2024L2V1.PDF,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/24资料包/2024 CFA Level II/cfa-program2024L2V1.PDF,文件,2024,9138149
cfa-program2024L2V5.PDF,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/24资料包/2024 CFA Level II/cfa-program2024L2V5.PDF,文件,2024,7620251
24cfa二级notes,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/24资料包/24cfa二级notes,文件夹,2024,
CFA 2024 Level II - SchweserNotes Book 3.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/24资料包/24cfa二级notes/CFA 2024 Level II - SchweserNotes Book 3.pdf,文件,2024,4955807
CFA二级  gd,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/CFA二级  gd,文件夹,2024,
CFA二级  jc,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/CFA二级  jc,文件夹,2024,
1.CFA二级基础段衍生_Jcy_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/CFA二级  jc/2.基础班/5.Jcy-Derivatives/1.CFA二级基础段衍生_Jcy_打印版.pdf,文件,2024,1025703
CFA二级基础段衍生_Jcy_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/CFA二级  jc/2.基础班/5.Jcy-Derivatives/CFA二级基础段衍生_Jcy_标准版.pdf,文件,2024,1441183
CFA二级基础段数量_Vincent_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/CFA二级  jc/2.基础班/数量_Vincent/CFA二级基础段数量_Vincent_标准版.pdf,文件,2024,6298360
CFA二级基础段经济_Vincent_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2024/CFA二级  jc/2.基础班/经济学_Vincent/CFA二级基础段经济_Vincent_标准版.pdf,文件,2024,1286158
CFA二级2024等多个文件,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件,文件夹,2024,
CFA二级2023,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023,文件夹,2024,
CFA二级 GD 2023,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023,文件夹,2024,
2023.8-11CFA二级GD,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/2023.8-11CFA二级GD,文件夹,2024,
CFA2023年（公式表）-L2.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/2023.8-11CFA二级GD/23GD资料/CFA2023年（公式表）-L2.pdf,文件,2024,22911622
CFA2023年（框架图）-L2-36937,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/2023.8-11CFA二级GD/23GD资料/CFA2023年（框架图）-L2-36937,文件夹,2024,
品职教育2023.08 CFA二级考前押题合集(无答案版).pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/2023.8-11CFA二级GD/品职教育2023.08 CFA二级考前押题合集(无答案版).pdf,文件,2024,5839912
品职教育2023.08 CFA二级考前押题合集(有答案版).pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/2023.8-11CFA二级GD/品职教育2023.08 CFA二级考前押题合集(有答案版).pdf,文件,2024,7056938
23CFA二级notes,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/23CFA二级notes,文件夹,2024,
CFA 2023 Level II - SchweserNotes Book 4.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/23CFA二级notes/CFA 2023 Level II - SchweserNotes Book 4.pdf,文件,2024,6827939
CFA 2023 Level II - SchweserNotes Book 5.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/23CFA二级notes/CFA 2023 Level II - SchweserNotes Book 5.pdf,文件,2024,2520243
CFA 2023 Level II - Schweser_s Quicksheet.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/23CFA二级notes/CFA 2023 Level II - Schweser_s Quicksheet.pdf,文件,2024,1083953
CFA2023年（学习指导手册）-L2.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/23GD资料/CFA2023年（学习指导手册）-L2.pdf,文件,2024,37027634
CFA2023年（框架图）-L2-36937,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/23GD资料/CFA2023年（框架图）-L2-36937,文件夹,2024,
CFA2023年（每日知识点）-L2.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/23GD资料/CFA2023年（每日知识点）-L2.pdf,文件,2024,51376847
CFA2023年（知识图谱）-L2.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/23GD资料/CFA2023年（知识图谱）-L2.pdf,文件,2024,8142135
CFA二级中文精讲,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/CFA二级中文精讲,文件夹,2024,
CFA二级中文精讲  3  第2版_14644968.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/CFA二级中文精讲/CFA二级中文精讲  3  第2版_14644968.pdf,文件,2024,57335496
2023年2月CFA一级100天备考计划表.xlsx,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 GD 2023/二级资料包2023/百日计划表/2023年2月CFA一级100天备考计划表.xlsx,文件,2024,44458
CFA二级 JC 2023,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023,文件夹,2024,
2023.8-11CFA二级JC,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC,文件夹,2024,
1.CFA二级前导_Part_I_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/1.前导段/1.前导 Part I/0.讲义/1.CFA二级前导_Part_I_标准版.pdf,文件,2024,2059613
CFA二级基础段公司金融_Tom_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/2.基础段/10.Corporate Issuers/CFA二级基础段公司金融_Tom_打印版.pdf,文件,2024,809728
CFA二级基础段公司金融_Tom_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/2.基础段/10.Corporate Issuers/CFA二级基础段公司金融_Tom_标准版.pdf,文件,2024,2317825
CFA二级基础段数量_Irene_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/2.基础段/5-Quantitative Methods-irene/讲义/CFA二级基础段数量_Irene_标准版.pdf,文件,2024,6305070
1.CFA二级基础段权益_Tom_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/2.基础段/7.Equity-tom/讲义/1.CFA二级基础段权益_Tom_标准版.pdf,文件,2024,1823024
CFA二级基础段衍生_Tom_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/2.基础段/9.Derivatives/Tom Han/0.讲义/CFA二级基础段衍生_Tom_打印版.pdf,文件,2024,598408
CFA二级基础段衍生_Tom_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/2.基础段/9.Derivatives/Tom Han/0.讲义/CFA二级基础段衍生_Tom_标准版.pdf,文件,2024,1068219
CFA二级总复习另类_Tom_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/4.强化段/Alternative Investments/0.讲义/CFA二级总复习另类_Tom_打印版.pdf,文件,2024,370150
1.CFA二级核心考点_权益.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/4.强化段/Equity/0.讲义/1.CFA二级核心考点_权益.pdf,文件,2024,514550
CFA二级总复习数量_Irene_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/4.强化段/Quantitative Methods/0.讲义/CFA二级总复习数量_Irene_标准版.pdf,文件,2024,2140302
2305CFA二级密卷_学员版_答案.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/6.密卷/讲义/2305CFA二级密卷_学员版_答案.pdf,文件,2024,16765390
CFA二级Mock1_AM_答案_学员版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/7.mock/CFA二级Mock1_AM_答案_学员版.pdf,文件,2024,353591
CFA二级Mock1_AM_题目_学员版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/7.mock/CFA二级Mock1_AM_题目_学员版.pdf,文件,2024,279201
CFA二级Mock2_AM_题目_学员版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/7.mock/CFA二级Mock2_AM_题目_学员版.pdf,文件,2024,315886
CFA二级Mock2_PM_答案_学员版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/2023.8-11CFA二级JC/7.mock/CFA二级Mock2_PM_答案_学员版.pdf,文件,2024,397715
23CFA二级notes,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/二级资料包2023/23CFA二级notes,文件夹,2024,
CFA 2023 Level II - SchweserNotes Book 2.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/二级资料包2023/23CFA二级notes/CFA 2023 Level II - SchweserNotes Book 2.pdf,文件,2024,7595558
CFA二级中文精讲,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/二级资料包2023/CFA二级中文精讲,文件夹,2024,
CFA二级中文精讲  2  第2版_14656763.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/二级资料包2023/CFA二级中文精讲/CFA二级中文精讲  2  第2版_14656763.pdf,文件,2024,117226189
CFA二级框架图（23年 ）,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/二级资料包2023/CFA二级框架图（23年 ）,文件夹,2024,
2023 CFA二级 框架图,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/二级资料包2023/CFA二级框架图（23年 ）/2023 CFA二级 框架图,文件夹,2024,
2023.05 品职教育 CFA 二级 知识框架图 Quantitative Methods 何旋.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/二级资料包2023/CFA二级框架图（23年 ）/2023 CFA二级 框架图/2023.05 品职教育 CFA 二级 知识框架图 Quantitative Methods 何旋.pdf,文件,2024,2606864
2023.05 品职教育CFA二级知识框架图 Financial Statement Analysis_何旋.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/二级资料包2023/CFA二级框架图（23年 ）/2023 CFA二级 框架图/2023.05 品职教育CFA二级知识框架图 Financial Statement Analysis_何旋.pdf,文件,2024,2863849
品职教育2023年5月CFA二级Portfolio Management知识框架图_何旋(水印版).pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2023/CFA二级 JC 2023/二级资料包2023/CFA二级框架图（23年 ）/2023 CFA二级 框架图/品职教育2023年5月CFA二级Portfolio Management知识框架图_何旋(水印版).pdf,文件,2024,2608694
CFA二级2024,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024,文件夹,2024,
2024 CFA Level II,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/24资料包/2024 CFA Level II,文件夹,2024,
cfa-program2024L2V2.PDF,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/24资料包/2024 CFA Level II/cfa-program2024L2V2.PDF,文件,2024,4017076
cfa-program2024L2V6.PDF,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/24资料包/2024 CFA Level II/cfa-program2024L2V6.PDF,文件,2024,5326847
24cfa二级notes,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/24资料包/24cfa二级notes,文件夹,2024,
CFA 2024 Level II - SchweserNotes Book 5.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/24资料包/24cfa二级notes/CFA 2024 Level II - SchweserNotes Book 5.pdf,文件,2024,3301962
CFA二级 jc,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/CFA二级 jc,文件夹,2024,
CFA二级经典题_经济学_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/CFA二级 jc/03-经典题/二级经典题讲义/CFA二级经典题_经济学_打印版.pdf,文件,2024,507062
CFA二级经典题衍生_Mikey_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/CFA二级 jc/03-经典题/二级经典题讲义/CFA二级经典题衍生_Mikey_标准版.pdf,文件,2024,1976507
CFA二级基础段固收_Cherie_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/CFA二级 jc/2. 基础班/6.cherie-Fixed Income/CFA二级基础段固收_Cherie_打印版.pdf,文件,2024,1896002
CFA二级基础段组合_王慧琳_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/CFA二级 jc/2. 基础班/7.Portfolio Management/CFA二级基础段组合_王慧琳_打印版.pdf,文件,2024,1375818
CFA二级基础段另类_Tom_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/CFA二级 jc/2. 基础班/9.Alternative Investments-Tom/CFA二级基础段另类_Tom_打印版.pdf,文件,2024,628288
2024CFA二级模考1学员版-答案.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/CFA二级 jc/6-模考班/2024CFA二级模考1学员版-答案.pdf,文件,2024,914107
2024CFA二级模考1学员版-题目.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/CFA二级 jc/6-模考班/2024CFA二级模考1学员版-题目.pdf,文件,2024,796925
2024CFA二级模考2学员版-题目.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/CFA二级 jc/6-模考班/2024CFA二级模考2学员版-题目.pdf,文件,2024,1048662
CFA二级gd,/cfa三级/CFA2级/大语文等多个文件等多个文件/CFA二级2024等多个文件/CFA二级2024/CFA二级gd,文件夹,2024,
CFA二级gd,/cfa三级/CFA二级gd,文件夹,0,
